appid,0,1,2,3,4,5,6,7
10,2.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
50,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
70,5.0,0.0,0.0,5.0,4.0,0.0,5.0,0.0
80,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
130,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
220,5.0,0.0,0.0,5.0,5.0,5.0,0.0,3.0
240,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
280,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
320,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
340,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
380,4.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
400,3.0,0.0,0.0,5.0,5.0,1.0,2.0,2.0
420,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
500,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
550,5.0,2.0,5.0,5.0,5.0,2.0,0.0,3.0
620,5.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0
730,2.0,5.0,5.0,5.0,5.0,0.0,5.0,1.0
1250,5.0,0.0,3.0,2.0,3.0,4.0,0.0,5.0
1520,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2200,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2310,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2500,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0
2600,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3480,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3540,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3590,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3810,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
3830,2.0,0.0,3.0,0.0,5.0,5.0,2.0,2.0
4000,0.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0
4500,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
4560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
4760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
4920,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6120,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
6880,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
6910,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6920,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7510,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7520,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0
7940,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8190,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8600,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8870,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
8930,2.0,4.0,5.0,0.0,1.0,0.0,0.0,5.0
9200,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
9480,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
9880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9900,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
10090,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
10180,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0
10500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11020,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11200,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
11360,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12100,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
12110,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
12120,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
12140,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
12200,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
12210,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
12500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12710,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13210,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13240,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13250,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13600,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15100,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
15520,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15700,0.0,0.0,3.0,2.0,4.0,4.0,0.0,5.0
16450,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16810,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17300,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17330,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17410,2.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0
17460,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17470,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
17710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18300,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
18500,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19900,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
20510,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20530,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20820,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20900,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
20920,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
21090,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
21130,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
21680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21690,2.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
21980,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22100,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
22120,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
22180,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
22300,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22330,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22370,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22380,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0
22600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23490,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
24010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
